transaction_id,customer_id,product_id,quantity,price,transaction_date,payment_type,status
TXN60316229705,67,4,3,49.99,2024-08-06,Cash,Failed
TXN81304369493,95,3,3,89.99,2024-08-06,Credit Card,Completed
TXN63871447878,18,49,4,29.99,2024-08-06,PayPal,Pending
TXN87746466617,67,22,2,149.99,2024-08-06,PayPal,Failed
TXN66462218322,66,39,4,199.0,2024-08-06,PayPal,Pending
TXN51223233130,36,39,4,199.0,2024-08-06,PayPal,Failed
TXN84671895952,16,29,3,89.99,2024-08-06,Cash,Completed
TXN81109588881,2,49,5,29.99,2024-08-06,Cash,Completed
TXN94293038361,30,24,3,799.99,2024-08-06,Debit Card,Pending
TXN72341771171,95,17,5,149.99,2024-08-06,Credit Card,Completed
TXN72104757567,51,37,2,29.99,2024-08-06,PayPal,Completed
TXN16476993468,54,10,1,29.99,2024-08-06,PayPal,Pending
TXN85817884753,60,14,5,89.99,2024-08-06,Credit Card,Completed
TXN42553687983,91,26,4,799.99,2024-08-06,Debit Card,Pending
TXN81833372842,37,5,2,49.99,2024-08-06,PayPal,Pending
TXN9522933418,40,49,5,29.99,2024-08-06,Cash,Pending
TXN30031721424,98,50,4,89.99,2024-08-06,Credit Card,Failed
TXN76375373936,34,20,4,29.99,2024-08-06,Debit Card,Completed
TXN75778112899,21,46,2,799.99,2024-08-06,Cash,Failed
TXN79065408096,18,13,1,149.99,2024-08-06,Credit Card,Failed
TXN21016224566,7,31,5,14.5,2024-08-06,PayPal,Pending
TXN91318011499,30,3,5,89.99,2024-08-06,PayPal,Completed
TXN31093665129,11,4,3,49.99,2024-08-06,Debit Card,Pending
TXN66125245113,31,43,2,89.99,2024-08-06,Credit Card,Failed
TXN94200227452,52,37,1,29.99,2024-08-06,Credit Card,Completed
TXN15269597715,41,47,1,89.99,2024-08-06,Credit Card,Pending
TXN95405474028,7,31,3,14.5,2024-08-06,Debit Card,Failed
TXN94389278135,39,18,4,199.0,2024-08-06,Credit Card,Pending
TXN38733907955,21,36,4,199.0,2024-08-06,Debit Card,Completed
TXN68649482230,87,17,1,149.99,2024-08-06,Credit Card,Completed
TXN93818609092,74,46,1,799.99,2024-08-06,Debit Card,Pending
TXN90392551067,14,47,5,89.99,2024-08-06,Credit Card,Failed
TXN20156334055,26,8,3,89.99,2024-08-06,Debit Card,Pending
TXN9127909069,53,45,5,14.5,2024-08-06,Cash,Completed
TXN53720270084,79,17,3,149.99,2024-08-06,Debit Card,Completed
TXN61002270455,75,44,5,799.99,2024-08-06,Debit Card,Failed
TXN69430124878,38,49,1,29.99,2024-08-06,Credit Card,Completed
TXN40100903003,7,50,1,89.99,2024-08-06,PayPal,Pending
TXN8258257379,63,12,2,29.99,2024-08-06,Cash,Failed
TXN26312795921,98,35,5,14.5,2024-08-06,PayPal,Failed
TXN60962891853,8,19,3,149.99,2024-08-06,Debit Card,Failed
TXN46321755826,27,38,3,149.99,2024-08-06,Credit Card,Failed
TXN5563969837,23,33,4,89.99,2024-08-06,Credit Card,Failed
TXN86603770498,43,27,1,149.99,2024-08-06,PayPal,Completed
TXN61138429482,36,41,5,89.99,2024-08-06,Credit Card,Completed
TXN68803663282,52,8,4,89.99,2024-08-06,Debit Card,Completed
TXN2449233550,7,36,5,199.0,2024-08-06,Cash,Failed
TXN86871320789,18,34,4,149.99,2024-08-06,Credit Card,Pending
TXN83710202129,10,25,2,89.99,2024-08-06,Credit Card,Failed
TXN96340493480,38,39,1,199.0,2024-08-06,PayPal,Pending
TXN43236218708,39,9,5,199.0,2024-08-06,Credit Card,Completed
TXN20715225725,41,42,4,49.99,2024-08-06,PayPal,Pending
TXN9564873121,61,48,5,199.0,2024-08-06,PayPal,Pending
TXN1143197262,8,35,5,14.5,2024-08-06,Debit Card,Completed
TXN57692967433,98,10,2,29.99,2024-08-06,Debit Card,Completed
TXN43433364780,9,24,1,799.99,2024-08-06,Debit Card,Completed
TXN51239903014,35,5,3,49.99,2024-08-06,PayPal,Pending
TXN33107710432,14,8,3,89.99,2024-08-06,Debit Card,Pending
TXN7235282008,50,37,1,29.99,2024-08-06,Credit Card,Pending
TXN62044800092,35,25,2,89.99,2024-08-06,Credit Card,Failed
TXN62252751633,67,21,5,199.0,2024-08-06,Credit Card,Failed
TXN31636412433,14,23,1,149.99,2024-08-06,Cash,Pending
TXN6638024946,55,1,4,89.99,2024-08-06,Debit Card,Failed
TXN99704455814,24,2,5,29.99,2024-08-06,Debit Card,Pending
TXN70884362206,23,12,2,29.99,2024-08-06,Debit Card,Completed
TXN82334035438,12,38,5,149.99,2024-08-06,Debit Card,Completed
TXN32417855701,100,44,1,799.99,2024-08-06,Credit Card,Completed
TXN83894997959,30,39,2,199.0,2024-08-06,Debit Card,Pending
TXN51318716207,85,8,2,89.99,2024-08-06,Cash,Failed
TXN19086046818,58,43,5,89.99,2024-08-06,Cash,Pending
TXN1109174452,99,42,5,49.99,2024-08-06,Cash,Failed
TXN67687010957,9,45,3,14.5,2024-08-06,Cash,Failed
TXN39857918269,23,41,1,89.99,2024-08-06,Debit Card,Failed
TXN84806680036,39,9,1,199.0,2024-08-06,Credit Card,Completed
TXN18881660575,21,18,3,199.0,2024-08-06,Debit Card,Completed
